# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	2	6	2	   0.00009670       -0.00026437
	3	6	2	   0.00001824        0.00001248
	-3	6	2	  -0.00004981       -0.00005470
	-2	6	2	  -0.00010270       -0.00046098
	-1	6	2	  -0.00005482       -0.00008451
	0	-6	2	  -0.00048785        0.00073210
	1	-6	2	  -0.00003916        0.00015764
	2	-6	2	  -0.00019687        0.00053819
	3	-6	2	   0.00000331        0.00008462
	-3	-6	2	  -0.00006476        0.00001739
	-2	-6	2	  -0.00039631        0.00034155
	-1	-6	2	  -0.00009224        0.00010498
	0	-5	2	  -0.00055782        0.00090170
	1	-5	2	   0.00044709       -0.00063184
	2	-5	2	  -0.00030365        0.00059523
	3	-5	2	   0.00010616       -0.00031368
	4	-5	2	  -0.00005817        0.00016547
	-4	-5	2	  -0.00011644        0.00009134
	-3	-5	2	   0.00032080       -0.00013415
	-2	-5	2	  -0.00037519        0.00048675
	-1	-5	2	   0.00065276       -0.00045825
	0	-4	2	  -0.00528572        0.00670530
	1	-4	2	  -0.00016235        0.00123215
	2	-4	2	  -0.00180695        0.00491201
	3	-4	2	   0.00016511        0.00069427
	4	-4	2	  -0.00012776        0.00133066
	5	-4	2	   0.00005139        0.00016579
	-5	-4	2	  -0.00014089       -0.00002429
	-4	-4	2	  -0.00117139        0.00030048
	-3	-4	2	  -0.00050761        0.00002761
	-2	-4	2	  -0.00413740        0.00260987
	-1	-4	2	  -0.00067844        0.00072025
	0	-3	2	  -0.00352942        0.00426951
	1	-3	2	   0.00352874       -0.00456252
	2	-3	2	  -0.00160910        0.00228545
	3	-3	2	   0.00061797       -0.00178988
	4	-3	2	  -0.00023975        0.00058007
	5	-3	2	   0.00002281       -0.00029430
	6	-3	2	  -0.00002392        0.00007265
	-6	-3	2	  -0.00006469        0.00001680
	-5	-3	2	   0.00034343       -0.00003092
	-4	-3	2	  -0.00046480        0.00022997
	-3	-3	2	   0.00214223       -0.00053403
	-2	-3	2	  -0.00178318        0.00177241
	-1	-3	2	   0.00555038       -0.00285927
	0	-2	2	  -0.03674627        0.03203174
	1	-2	2	  -0.00027424        0.00587040
